STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,UNIT_MEASURE,Unit of measure,REF_AREA,Reference area,FREQ,Frequency,H_TYPE,Hotel Type,H_INDICATOR,Hotels Indicator,GUEST_REGION,Guests Nationality,SOURCE_DETAIL,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_COMMENT,Footnotes,UNIT_MULT,Unit multiplier
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,STA,Standard,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2017,,186,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2018,,355,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2017,,355,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2016,,358,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,STA,Standard,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,15164,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,STA,Standard,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,14797,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,_T,Total Hotels and Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,1089,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,_T,Total Hotels and Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2019,,1136,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,_T,Total Hotels and Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2018,,1106,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,STA,Standard,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,171,,,,,,,,,
