procedure_name_en,project_name_en,building_name_ar,actual_worth,property_usage_en,reg_type_id,procedure_id,property_sub_type_id,procedure_area,procedure_name_ar,instance_date,project_name_ar,building_name_en,property_usage_ar,area_id,property_type_id,nearest_metro_en,has_parking,meter_sale_price,trans_group_ar,nearest_mall_en,no_of_parties_role_3,nearest_metro_ar,no_of_parties_role_2,no_of_parties_role_1,trans_group_en,nearest_mall_ar,transaction_id,rooms_ar,meter_rent_price,property_type_en,master_project_en,nearest_landmark_en,rooms_en,area_name_en,property_type_ar,trans_group_id,load_timestamp,nearest_landmark_ar,area_name_ar,reg_type_en,property_sub_type_en,project_number,rent_value,reg_type_ar,property_sub_type_ar,master_project_ar
Mortgage Registration,,,500000,Residential,1,13,,1319.22,تسجيل رهن,1999-04-07,,,سكني,374,4,First Abu Dhabi Bank Metro Station,0,379.01,رهون,Mall of the Emirates,0.0,محطة مترو بنك أبوظبي الأول,1.0,1.0,Mortgages,مول الإمارات,2-13-1999-451,,,Villa,,Burj Al Arab,,Um Al Sheif,فيلا,2,2026-03-26 10:08:27,برج العرب,ام الشيف,Existing Properties,,,,العقارات القائمة,,
Mortgage Registration,,,500000,Residential,1,13,,1858.06,تسجيل رهن,2000-11-20,,,سكني,257,1,,0,269.1,رهون,,0.0,,1.0,1.0,Mortgages,,2-13-2000-1003,,,Land,,,,Al Khawaneej,أرض,2,2026-03-26 10:08:27,,الخوانيج,Existing Properties,,,,العقارات القائمة,,
Mortgage Registration,,,678028,Residential,1,13,,1132.21,تسجيل رهن,2004-08-18,,,سكني,354,4,Rashidiya Metro Station,0,598.85,رهون,City Centre Mirdif,0.0,محطة مترو الراشدية,1.0,1.0,Mortgages,سيتي سنتر مردف,2-13-2004-801,,,Villa,,Dubai International Airport,,Al Warqa Second,فيلا,2,2026-03-26 10:08:27,مطار دبي الدولي,الورقاء الثانيه,Existing Properties,,,,العقارات القائمة,,
Sell,,,16500000,Commercial,1,11,,5644.14,بيع,2005-01-31,,,تجاري,351,1,,0,2923.39,مبايعات,,0.0,,1.0,1.0,Sales,,1-11-2005-282,,,Land,,,,Al Thanyah Third,أرض,1,2026-03-26 10:08:27,,الثنيه الثالثة,Existing Properties,,,,العقارات القائمة,,
Sell,,,62880000,Commercial,1,11,,3651.09,بيع,2007-06-18,,,تجاري,368,2,Sharaf Dg Metro Station,0,17222.25,مبايعات,Mall of the Emirates,0.0,محطة مترو شرف دي جي,1.0,1.0,Sales,مول الإمارات,1-11-2007-1720,,,Building,,Burj Al Arab,,Al Barsha First,مبنى,1,2026-03-26 10:08:27,برج العرب,البرشاء الاولى,Existing Properties,,,,العقارات القائمة,,
Grant,Emirates Hills,,30000000,Commercial,1,9,,2580.39,هبه,2007-06-25,تلال الإمارات,,تجاري,352,4,Damac Properties,0,11626.15,هبات,Marina Mall,0.0,عقارات داماك,1.0,1.0,Gifts,مارينا مول,3-9-2007-110,,,Villa,Emirates Hills,Sports City Swimming Academy,,Al Thanayah Fourth,فيلا,3,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الثنيه الرابعة,Existing Properties,,4000.0,,العقارات القائمة,,تلال الامارات
Lease to Own Registration,Emirates Living - Springs 3,,965000,Residential,1,110,4.0,350.69,تسجيل إيجارة تنتهى بالتملك,2007-09-03,روعة الإمارات ? الينابيع 3,,سكني,352,4,Damac Properties,0,2751.72,رهون,Marina Mall,2.0,عقارات داماك,2.0,2.0,Mortgages,مارينا مول,2-110-2007-100489,ثلاث غرف,2751.72,Villa,Springs - 6,Sports City Swimming Academy,3 B/R,Al Thanayah Fourth,فيلا,2,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الثنيه الرابعة,Existing Properties,Villa,1033.0,965000.0,العقارات القائمة,فيلا,الينابيع - 6
Sell,,الرمال 4,599000,Residential,1,11,60.0,129.17,بيع,2007-09-19,,Rimal 4,سكني,330,3,Jumeirah Beach Residency,1,4637.3,مبايعات,Marina Mall,0.0,مساكن شاطئ جميرا,1.0,1.0,Sales,مارينا مول,1-11-2007-200594,غرفتين,,Unit,Jumeriah Beach Residence  - JBR,Burj Al Arab,2 B/R,Marsa Dubai,وحدة,1,2026-03-26 10:08:27,برج العرب,مرسى دبي,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,جميرا بيتش ريزيدنس  - الجيه بي آر 
Lease to Own Registration,,المجرة-1,662915,Residential,1,110,60.0,191.1,تسجيل إيجارة تنتهى بالتملك,2007-12-25,,Al Majara 1,سكني,330,3,Jumeirah Lakes Towers,1,3468.94,رهون,Marina Mall,4.0,أبراج بحيرات جميرا,2.0,2.0,Mortgages,مارينا مول,2-110-2007-200317,ثلاث غرف,3468.94,Unit,Dubai Marina,Burj Al Arab,3 B/R,Marsa Dubai,وحدة,2,2026-03-26 10:08:27,برج العرب,مرسى دبي,Existing Properties,Flat,,662915.0,العقارات القائمة,شقه سكنيه,دبي مارينا
Sell,,مارينا كراون تاور,1112800,Residential,1,11,60.0,135.35,بيع,2008-01-07,,MARINA CROWN TOWER,سكني,330,3,Mina Seyahi,1,8221.65,مبايعات,Marina Mall,0.0,مينا السياحي,1.0,1.0,Sales,مارينا مول,1-11-2008-200099,غرفتين,,Unit,Dubai Marina,Burj Al Arab,2 B/R,Marsa Dubai,وحدة,1,2026-03-26 10:08:27,برج العرب,مرسى دبي,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,دبي مارينا
