contract_amount,ejari_property_sub_type_ar,project_name_en,ejari_bus_property_type_ar,property_usage_en,contract_id,ejari_property_sub_type_en,project_name_ar,property_usage_ar,area_id,tenant_type_en,contract_start_date,contract_end_date,nearest_metro_en,ejari_bus_property_type_id,no_of_prop,line_number,nearest_mall_en,nearest_metro_ar,ejari_bus_property_type_en,ejari_property_sub_type_id,nearest_mall_ar,tenant_type_id,annual_amount,contract_reg_type_en,ejari_property_type_en,is_free_hold,master_project_en,contract_reg_type_ar,ejari_property_type_ar,nearest_landmark_en,area_name_en,load_timestamp,nearest_landmark_ar,ejari_property_type_id,area_name_ar,project_number,actual_area,tenant_type_ar,master_project_ar,contract_reg_type_id
966000,محل,,وحدة,Commercial,CNT103175667,Shop,,تجاري,329,Authority,2011-07-01,2016-06-30,Trade Centre Metro Station,2,4,2,Dubai Mall,محطة مترو المركز التجاري,Unit,421.0,مول دبي,1.0,193200,New,Shop,0,,جديد,محل,Burj Khalifa,Trade Center Second,2026-02-19 01:09:55,برج خليفة,1.0,المركز التجارى الثانيه,,39.0,جهة,,1
100000,غرفتين و صالة,,وحدة,Residential,CNT35452,2 bed rooms+hall,,سكني,341,Person,2011-09-01,2012-08-31,Financial Centre,2,1,1,Dubai Mall,المركز المالي,Unit,2.0,مول دبي,0.0,100000,New,Flat,0,,جديد,شقه,Burj Khalifa,Trade Center First,2026-02-19 01:09:55,برج خليفة,842.0,المركز التجارى الاولى,,139.0,شخص,,1
189532,صيدلية,,وحدة,Commercial,CNT100294130,Pharmacy,,تجاري,231,Authority,2012-01-01,2012-12-31,Al Qiyadah Metro Station,2,1,1,,محطة مترو القيادة,Unit,31.0,,1.0,189532,Renew,Shop,0,,تجديد,محل,Dubai International Airport,Al Mamzer,2026-02-19 01:09:55,مطار دبي الدولي,1.0,الممزر,,61.0,جهة,,2
47000,غرفة و صالة,,وحدة,Residential,CNT104141581,1bed room+Hall,,سكني,267,Person,2012-01-11,2013-01-10,Al Fahidi Metro Station,2,1,1,Dubai Mall,محطة مترو الفهيدي,Unit,1.0,مول دبي,0.0,47000,New,Flat,0,,جديد,شقه,Burj Khalifa,Al Raffa,2026-02-19 01:09:55,برج خليفة,842.0,الرفاعه,,93.0,شخص,,1
85000,غرفتين و صالة,,وحدة,Residential,CNT100910879,2 bed rooms+hall,,سكني,278,Person,2012-03-08,2013-03-07,Al Fahidi Metro Station,2,1,1,Dubai Mall,محطة مترو الفهيدي,Unit,2.0,مول دبي,0.0,85000,New,Flat,0,,جديد,شقه,Burj Khalifa,Mankhool,2026-02-19 01:09:55,برج خليفة,842.0,منخول,,112.0,شخص,,1
90000,مكتب,,وحدة,Commercial,CNT3156132,Office,,تجاري,271,Authority,2012-03-15,2013-03-14,ADCB Metro Station,2,1,1,Dubai Mall,محطة مترو بنك أبوظبي التجاري,Unit,422.0,مول دبي,1.0,90000,New,Office,0,,جديد,مكتب,Burj Khalifa,Al Karama,2026-02-19 01:09:55,برج خليفة,2.0,الكرامه,,116.0,جهة,,1
50000,غرفة و صالة,,وحدة,Residential,CNT103862958,1bed room+Hall,,سكني,240,Person,2012-06-20,2013-06-19,Deira City Centre,2,1,1,Dubai Mall,ديرة سيتي سنتر,Unit,1.0,مول دبي,0.0,50000,New,Flat,0,,جديد,شقه,Dubai International Airport,Port Saeed,2026-02-19 01:09:55,مطار دبي الدولي,842.0,بور سعيد,,1.0,شخص,,1
32000,أستوديو,,وحدة,Residential,CNT4890436,Studio,,سكني,445,Person,2012-07-25,2013-07-24,Harbour Tower,2,1,1,Ibn-e-Battuta Mall,برج هاربور,Unit,11.0,ابن بطوطة مول,0.0,32000,New,Flat,1,Discovery Gardens,جديد,شقه,Sports City Swimming Academy,Jabal Ali First,2026-02-19 01:09:55,أكاديمية المدينة الرياضية للسباحة,842.0,جبل علي الأولى,,51.0,شخص,الحدائق المكتشفة,1
100000,غرفتين و صالة,,وحدة,Residential,CNT145126527,2 bed rooms+hall,,سكني,350,Person,2012-10-01,2013-09-30,Jumeirah Lakes Towers,2,1,1,Marina Mall,أبراج بحيرات جميرا,Unit,2.0,مارينا مول,0.0,100000,New,Flat,1,Jumeirah Lakes Towers,جديد,شقه,Sports City Swimming Academy,Al Thanyah Fifth,2026-02-19 01:09:55,أكاديمية المدينة الرياضية للسباحة,842.0,الثنيه الخامسة,,177.0,شخص, ابراج بحيرات الجميرا,1
23000,أستوديو,,وحدة,Residential,CNT104312620,Studio,,سكني,343,Person,2012-11-08,2013-11-07,Rashidiya Metro Station,2,1,1,City Centre Mirdif,محطة مترو الراشدية,Unit,11.0,سيتي سنتر مردف,0.0,23000,Renew,Flat,1,International City Phase 1,تجديد,شقه,,Al Warsan First,2026-02-19 01:09:55,,842.0,ورسان الاولى,,45.0,شخص,المدينة العالمية - المرحلة الاولى,2
132000,ثلاثة غرفة و صالة,,وحدة,Residential,CNT104609821,3 bed rooms+hall,,سكني,278,Person,2013-01-01,2013-12-31,Al Fahidi Metro Station,2,1,1,Dubai Mall,محطة مترو الفهيدي,Unit,3.0,مول دبي,0.0,132000,New,Flat,0,,جديد,شقه,Burj Khalifa,Mankhool,2026-02-19 01:09:55,برج خليفة,842.0,منخول,,139.0,شخص,,1
30000,أستوديو,,وحدة,Residential,CNT104984777,Studio,,سكني,367,Person,2013-02-01,2014-01-31,Al Ghubaiba Metro Station,2,1,1,Dubai Mall,محطة مترو الغبيبة,Unit,11.0,مول دبي,0.0,30000,New,Flat,0,,جديد,شقه,Burj Khalifa,Al Suq Al Kabeer,2026-02-19 01:09:55,برج خليفة,842.0,السوق الكبير,,20.0,شخص,,1
22000,محل,,وحدة,Commercial,CNT105345568,Shop,,تجاري,339,Authority,2013-02-02,2014-02-01,Palm Deira Metro Stations,2,1,1,Dubai Mall,محطات مترو نخلة ديرة,Unit,421.0,مول دبي,1.0,22000,Renew,Shop,0,,تجديد,محل,Dubai International Airport,Al Mararr,2026-02-19 01:09:55,مطار دبي الدولي,1.0,المرر,,50.0,جهة,,2
45000,غرفة و صالة,,وحدة,Residential,CNT130083493,1bed room+Hall,,سكني,365,Person,2013-05-06,2014-05-05,Trade Centre Metro Station,2,1,1,Dubai Mall,محطة مترو المركز التجاري,Unit,1.0,مول دبي,0.0,45000,Renew,Flat,0,,تجديد,شقه,Burj Khalifa,Al Hudaiba,2026-02-19 01:09:55,برج خليفة,842.0,الحضيبه,,98.0,شخص,,2
110000,مستودع,,وحدة افتراضية,Commercial,CNT191794418,Warehouse,,تجاري,319,Authority,2013-06-15,2014-06-14,Creek Metro Station,5,1,1,City Centre Mirdif,محطة مترو الخور,Virtual Unit,13.0,سيتي سنتر مردف,1.0,110000,New,Warehouse,0,,جديد,مستودع,Downtown Dubai,Ras Al Khor Industrial Second,2026-02-19 01:09:55,وسط مدينة دبي,7.0,راس الخور الصناعيه الثانيه,,,جهة,,1
